N_splines,chart,size,pc2_var,pc3_var,convex_gap_median,convex_gap_p90,convex_gap_bad_frac,hull_area
64,4,47,0.6621937882925513,0.8913181224547219,0.7601301347205536,1.3867206514156023,0.0,0.19292826350353476
64,5,35,0.626351536681691,0.7921136440209348,1.065553680413118,3.1774350827343456,0.135,0.12480496688083913
64,6,44,0.650767618187594,0.833964824173596,1.2345938670436465,3.5063212976093876,0.17833333333333334,0.1278969112431989
64,7,44,0.595670813864813,0.7770331842710703,1.3227335854610272,3.55847799886992,0.18333333333333332,0.16525615776237493
64,8,38,0.6744521245035799,0.841110856573079,0.6583047735887915,1.1960788210313318,0.0,0.16059437491690734
64,9,40,0.7432477963005765,0.9220140226727833,0.7967832734497722,1.5062424781817765,0.0,0.11790438441753569
64,10,49,0.6163208051330971,0.7655973286801225,0.6971342441186816,1.3173818504049362,0.0,0.20271340947081243
64,11,58,0.7155685073746998,0.8621943297420303,0.9301402994122905,1.6395011476473262,0.0,0.13815561601463203
64,12,27,0.709620654965072,0.8482687417742011,0.8591239713336136,1.4971693093179943,0.0,0.10984063623078982
64,13,27,0.5949683259545215,0.8086763369598049,0.7249487682367974,1.3924686104120632,0.0,0.16151249544913293
64,14,53,0.5817341101095624,0.7403371273633501,0.8666486275044398,1.5644574846337955,0.0016666666666666668,0.15220110041082888
64,15,45,0.7010117754124205,0.8944906846336608,1.0241945889167514,1.8751373713841126,0.005,0.14596704399388427
64,16,51,0.6155903745792988,0.8055684173630012,0.8760368512635544,1.581974429031264,0.0016666666666666668,0.13617478326399501
64,17,37,0.7982216186564849,0.9268348024315818,0.8447283133697794,1.5786282534183553,0.0,0.15861675228652902
64,18,52,0.5905437568270733,0.7811205161722268,1.1345046340828797,2.9739201195105864,0.09333333333333334,0.1451499553906135
64,19,34,0.7238492540260865,0.8756195133123555,0.6236857805457445,1.2173426729263168,0.0,0.21805462690100533
64,20,45,0.6849051044457484,0.8256203861621263,1.1602111014223673,1.907412466755951,0.011666666666666667,0.16331363282273142
64,21,40,0.5513760761069539,0.7569475754301347,0.9255444176562747,1.706449152670018,0.008333333333333333,0.1482080823318521
64,22,45,0.6837900640503778,0.8751904115638187,0.7474663744828784,1.2966561656957258,0.0,0.1837672726935613
64,23,49,0.6658143481644269,0.842992677182061,0.7804052353324571,1.3499930758203353,0.0,0.25459990338049643
64,24,36,0.7316053562193731,0.8693295110960697,0.6736792885131389,1.2241919427204095,0.0,0.13659444040463406
64,25,41,0.8262333580293681,0.8976981459516039,0.9109480447530969,1.9126970679679622,0.011666666666666667,0.2156495456783185
64,26,43,0.5678495832624783,0.7253862210117578,1.2359563372302311,2.9095387774942414,0.09166666666666666,0.12530746270848903
64,27,42,0.5474240477832977,0.733316456509916,0.6203511004608725,1.2417245744533376,0.0033333333333333335,0.207281108532312
64,28,32,0.7518355473608433,0.8913461115207056,0.6619890285267775,1.287626957183852,0.0,0.13409881409948488
64,29,44,0.5380651903655138,0.7176338746841221,0.9480394251884009,3.285098662385444,0.13333333333333333,0.10132464146512302
64,30,24,0.773269194322037,0.8944426243481428,1.0022907384358632,2.1251876732399255,0.013333333333333334,0.14128652751593188
64,31,45,0.6273259503511202,0.7902463155045332,0.8887791996702317,1.5493200209671754,0.005,0.17447774801528762
64,32,59,0.8030731241732556,0.9003797838018291,0.91066315305745,1.719626110081157,0.0,0.11981878789360828
64,33,41,0.5975778942359355,0.7725329519648123,0.9709451810843575,2.1250206786522265,0.01,0.1823179169105466
64,34,46,0.6517853742211281,0.813815440236128,0.7638355879823494,1.2796388617069168,0.0,0.17751179416816998
64,35,56,0.5523355557939231,0.7527534218640559,0.9395674493814656,1.7547862767394506,0.0,0.14077014051776726
64,36,39,0.6371289776371152,0.818037312043394,0.6146854183980273,1.3858655096567318,0.0,0.24645316572874829
64,37,44,0.6374882970725435,0.7956248652114846,0.572408131067156,1.1943025417158044,0.0,0.16315650143613503
64,38,53,0.5829670722921763,0.7362837217897106,0.8951153008891756,2.623534898571283,0.04666666666666667,0.11425473435059866
